u,v,a(m2=10000kg),a(m2=20000kg),a(m2=30000kg),a(m2=40000kg),a(m2=50000kg)
-60,0,-3.038463752,-1.519231876,-1.012821251,-0.759615938,-0.60769275
-60,0.2,-3.138463752,-1.569231876,-1.046154584,-0.784615938,-0.62769275
-60,0.4,-3.138284207,-1.569142104,-1.046094736,-0.784571052,-0.627656841
-60,0.6,-3.137566027,-1.568783013,-1.045855342,-0.784391507,-0.627513205
-60,0.8,-3.183328586,-1.591664293,-1.061109529,-0.795832146,-0.636665717
-60,1,-3.103654221,-1.55182711,-1.034551407,-0.775913555,-0.620730844
-60,1.2,-3.211665988,-1.605832994,-1.070555329,-0.802916497,-0.642333198
-60,1.4,-3.295420477,-1.647710238,-1.098473492,-0.823855119,-0.659084095
-60,1.6,-3.294826644,-1.647413322,-1.098275548,-0.823706661,-0.658965329
-60,1.8,-3.366541058,-1.683270529,-1.122180353,-0.841635264,-0.673308212
-60,2,-3.361188286,-1.680594143,-1.120396095,-0.840297072,-0.672237657
-60,2.2,-3.362771675,-1.681385838,-1.120923892,-0.840692919,-0.672554335
-60,2.4,-3.398960045,-1.699480023,-1.132986682,-0.849740011,-0.679792009
-60,2.6,-3.400780298,-1.700390149,-1.133593433,-0.850195074,-0.68015606
-60,2.8,-3.40260055,-1.701300275,-1.134200183,-0.850650137,-0.68052011
-60,3,-3.404420802,-1.702210401,-1.134806934,-0.8511052,-0.68088416
-60,3.2,-3.364952256,-1.682476128,-1.121650752,-0.841238064,-0.672990451
-60,3.4,-3.322596936,-1.661298468,-1.107532312,-0.830649234,-0.664519387
-60,3.6,-3.304872682,-1.652436341,-1.101624227,-0.82621817,-0.660974536
-60,3.8,-3.298075647,-1.649037824,-1.099358549,-0.824518912,-0.659615129
-60,4,-3.30043271,-1.650216355,-1.100144237,-0.825108177,-0.660086542
-60,4.2,-3.341761518,-1.670880759,-1.113920506,-0.835440379,-0.668352304
-60,4.4,-3.341434823,-1.670717411,-1.113811608,-0.835358706,-0.668286965
-60,4.6,-3.341108127,-1.670554064,-1.113702709,-0.835277032,-0.668221625
-60,4.8,-3.382089271,-1.691044636,-1.12736309,-0.845522318,-0.676417854
-60,5,-3.382335729,-1.691167864,-1.127445243,-0.845583932,-0.676467146
-60,5.2,-3.382582187,-1.691291093,-1.127527396,-0.845645547,-0.676516437
-60,5.4,-3.382828644,-1.691414322,-1.127609548,-0.845707161,-0.676565729
-60,5.6,-3.345446547,-1.672723274,-1.115148849,-0.836361637,-0.669089309
-60,5.8,-3.342307646,-1.671153823,-1.114102549,-0.835576911,-0.668461529
-60,6,-3.34930047,-1.674650235,-1.11643349,-0.837325118,-0.669860094
-60,6.2,-3.35182708,-1.67591354,-1.117275693,-0.83795677,-0.670365416
-60,6.4,-3.354353691,-1.677176845,-1.118117897,-0.838588423,-0.670870738
-60,6.6,-3.42462353,-1.712311765,-1.141541177,-0.856155882,-0.684924706
-60,6.8,-3.424956708,-1.712478354,-1.141652236,-0.856239177,-0.684991342
-60,7,-3.425289885,-1.712644943,-1.141763295,-0.856322471,-0.685057977
-60,7.2,-3.425623063,-1.712811532,-1.141874354,-0.856405766,-0.685124613
-60,7.4,-3.425956241,-1.712978121,-1.141985414,-0.85648906,-0.685191248
-60,7.6,-3.426289419,-1.71314471,-1.142096473,-0.856572355,-0.685257884
